"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,97317,"93534","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Lancaster",1624,202200,0.011,0.0379876796714579,0.192920353982301,0.120652657535368,,"2017-05","2017-Q2",202200,0,"2017-05"
2017-05-31,81421,"53703","WI","Madison","Dane","Madison",1625,268600,0.0105342362678706,0.0554027504911591,0.17600700525394,0.0720319662098514,0.0271894658159246,"2017-05","2017-Q2",268600,0,"2017-05"
2017-05-31,61640,"10026","NY","New York","New York","New York",1626,1025500,0.0427046263345196,0.0770927423589959,0.113463626492942,0.10213892175096,0.0507817322408906,"2017-05","2017-Q2",1025500,0,"2017-05"
2017-05-31,60983,"08094","NJ","Philadelphia","Gloucester","Monroe Township",1627,184600,-0.00485175202156334,-0.000541418516513265,-0.00323974082073434,0.0117811525505289,-0.0200310267036157,"2006-10","2006-Q4",228800,-0.193181818181818,"2004-12"
2017-05-31,96127,"90291","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1628,1634400,0.00208461066830166,0.00442477876106195,0.0135813953488372,0.127114545533577,0.0501130662838933,"2017-05","2017-Q2",1634400,0,"2017-05"
2017-05-31,99136,"97222","OR","Portland","Clackamas","Milwaukie",1629,327300,0.00614817091915155,0.0161440546414157,0.118974358974359,0.129042346315368,0.02443496478267,"2017-05","2017-Q2",327300,0,"2017-05"
2017-05-31,79121,"48310","MI","Detroit","Macomb","Sterling Heights",1630,194000,-0.000515198351365276,0.0135841170323929,0.0706401766004415,0.101207048132112,0.0061295076234702,"2006-01","2006-Q1",198300,-0.021684316691881,"2004-07"
2017-05-31,92712,"78852","TX","Eagle Pass","Maverick","Eagle Pass",1631,108200,0,-0.00915750915750916,-0.0339285714285714,0.0148742648067279,,"2010-09","2010-Q3",117900,-0.082273112807464,
2017-05-31,96351,"91320","CA","Ventura","Ventura","Thousand Oaks",1632,679100,0.000736811081638668,0.0135820895522388,0.0261408280447265,0.0694214709284735,0.00108135573812573,"2006-07","2006-Q3",711300,-0.0452692253620132,"2005-11"
2017-05-31,96451,"91606","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1633,540900,0.0110280373831776,0.0344234079173838,0.107493857493857,0.116974848691063,-0.000258460090397872,"2006-10","2006-Q4",559100,-0.0325523162225004,"2006-04"
